comment_id,parent_id,username,comment,comment_time,like_count,reply_count
18067434878230943,,rabbitky200,Liatkan… yg tadinya dibawah terus naik keatas jg tetep korup. Jadi yg salah itu sifatnya ya guys kalau emg udh ada bibit serakah mah mau yg tadinya udh kaya atau emang dari nol ya ujung2nya kalau ada kesempatan pasti diembat.,1755908639,0,0
18037558073692809,,gojuzhu,ironis🙁,1755908958,0,0
18060969218585677,,syahrulmuttaqin_,Karie nya berawal dari menjilat mulyono 😂,1755908990,0,0
18108648172549015,,lfzkya,Yg katanya menjunjung nilai meritokrasi👏,1755909314,0,0
17903324253244793,,agangege,Dapet remisi karena beliau selalu dapet bintang 5,1755909356,0,0
18044997767328393,,edwarff,Uang membuat lupa 😢,1755909356,0,0
18098171695618769,,luq8.7,Gini nih klo jabatan giveaway,1755909388,0,0
18064127918019423,,nurhanasp,Inget waktu di podcast dr.ricard ? Harus nyopet ceunaaah.,1755909395,0,0
17874686430403496,,pieroedi,rai jembuuuut..cocooot termul njelehiiiii...,1755909420,0,0
17867890317429477,,sebutsajajewe,Ketua JOKOWI MANIA nih boss,1755909425,0,0
17914151661175118,,suhendralie,Ooo wamen karena ketua fans club?,1755909460,0,0
18074706341076480,,lulu98khoir,@prabowo INDONESIA SEMAKIN EDAN PAK🥀🥀🥀 MIRIS PAK SAYAAA TRAGEDI TERBESAR DALAM SEJARAHH!!!! Benahin dulu ANTEK ANTEK BAPAK DAH JNGN KEBANYAKAN BACOT RAPAT SANA SINI HASIL NIHIL !!!! Kebanyakan makan uang anggaran jadi otak kosong #LumpuhinDPR2025.  JANGAN KEBANYAKAN DRAMAAAAA AJA 👏👏👏👏,1755909594,0,0
18109267915536178,,abdulrachmanwahid,HUKUM MATOT BUAT KORUPSI,1755909675,0,0
17977868015862396,,daamarss,😂😂,1755910330,0,0
18049852730260017,,lestarideasi,"Sudah kuduga, banyak buzzer msk pemerintahan P karna politik balas budi, rakyat dan negara di bisnisin. Ijazah asli terakhir nya apa coba tebak",1755910350,0,0
18093397858660234,,donnisimon,Mamam,1755910396,0,0
17903870337248957,,3zshoezspace,"Diatas itu anginnya kencang bung, kalau enggak sanggup lebih baik turun aja deh",1755910482,0,0
18084154930852923,,_achil15,Orang jujur pasti di singkirin,1755910498,0,0
18523651606019243,,kconkarf,miris bener untung masih wakil 😂😂,1755910584,0,0
18048138950293795,,maharunee,NO WONDER. TERMUL TERNYATA 🤣,1755910591,0,0
18041075681663682,,azazel.moningstar,Ini yg si Noel sendiri bilang Berwatak Culas,1755910856,0,0
18124168759481777,,betebeeee,"Real ada nya , rejeki bagian dari ujian , pelajaran buat kita semua , harus selalu bersyukur dengan apa yg kita dapat",1755911172,0,0
18055950884615900,,zainalandikusuma,Blong rem motornya,1755911204,0,0
18381168466127258,,rahma_dianing,Paak kisah ada menginspirasi..tolong diceritakan tips2nya..saya mau jd wamen kemenkes,1755911446,0,0
18049314731263877,,arsan.ard,Hidup udah enak mlh korup ya goblok,1755911576,0,0
18058676264525045,,pucuk_waluh_belungka_rakah,"Mana takut mereka sama patung, Sama Tuhan aja mereka tidak takut",1755912076,0,0
18137740552427860,,apsa_mlh,Amalan apa yang beliau lakuka selain tukang jilat😂,1755912198,0,0
18072174248026795,,adeokiii,Dah tau kan sekarang beban negara itu siapa🔥,1755912219,0,0
18057852635597547,,indoarcspade,"Cepet naiknya, cepet turunnya, karena jalurnya cuma jalur jilat2 sampe licin",1755912294,0,0
18058452170375827,,jannicalindatruue,Dia seneng sidak ke perusahaan lah soalnya tau gacornya dimana heheh,1755912447,0,0
18067592129233416,,satriartlaksana,😩🦶🏻,1755912469,0,0
17980571378855907,,taniaerniaty,Ditunggu wamen2 berikutnya masuk geng orange 😎 biar makin rame KPK,1755912638,0,0
18320280682238144,,abumaryamali,👏,1755912645,0,0
17914425540187421,,ayah_omar.hanna,Ini namanya tranformasi hidup hasil dari produk revolusi mental Mulyono,1755912695,0,0
18097519855617495,,nan_euro,Baguss sesuai manekin pemimpinnya memberikan teladan,1755912722,0,0
18091560727672462,,ihhh_da,"Ini yang dinamakan aji mumpung, semua itu ada batasnya, ada takaran nyaaa",1755912805,0,0
18074581694062014,,adamfirmansyah24_,"gacornya smpe ke bilik jeruji besi, mntap",1755912899,0,0
18050645933242520,,adhanakbar3,Miskinkan....sita aset semua.,1755912986,0,0
18155556562347661,,sitiaisyahadri,"Lemarinya kayak lemari cosplayer tuh, variatif banget",1755913217,0,0
17874299619406319,,bayuanantawijaya,"Jadi ojol di syukuri, jadi koruptor hidup TDK berkah ..TDK tenang🤦🤦🤦",1755913250,0,0
18399195190137744,,hndpmn,Si paling jokowi mania nih 😂,1755913342,0,0
18354818890082683,,nayratutunggal,Yg susah rakus dan diberi jabatan akan pret pada waktunya,1755913378,0,0
18520409854005114,,kapten_humaira_,Alhamdulillah.... 🤲🏻,1755913401,0,0
18074975624086826,,paman_uwa,Dari Warna Ijo ke Orange😂,1755913579,0,0
18524559220017428,,triplek_id,BEJAD,1755913650,0,0
18063491387205338,,cherryyyul_,menyala banget sampe kebakaran 🔥🔥🔥,1755913869,0,0
17984892470712102,,gaaaaaahel_01,Yah namanya noel,1755914030,0,0
18072644765109102,,msakilie,Derajat hidupnya terangkat sejak jadi ketua JOMAN,1755914090,0,0
18117026317504680,,zay_marel,2016 - 2025 harta lgsg 17m kerja hanya dari ojol ke relawan/pendukung penguasa dan 10 bulan Wamen. Salah satu manusia Milioner dan buzzer suksess😂😂😂,1755914176,0,0
18074464331020766,,f44iz4,sejak kapan KPK ngurusin soal pemerasan🙈😂,1755914185,0,0
17987892320850637,,rakhmadgunawan,Bersihkan genk solo 🙌,1755914310,0,0
18075525662504599,,abdulmuiz27,CEBONG MANIA BANGGA BANGET NIH  PERNAH DI PIMPINNYA DGN PRESTASI JILATAN SELANGIT,1755914452,0,0
18529942006050054,,arifahmad_dmt,"Karna udah ga bisa pnya sertifikat kelakuan baik, jd ga bisa ngojol lagi 😂",1755914764,0,0
17900366748257161,,bagasbul,Selamat noel.. Perjuangan yg tidak sia sia 👏👏,1755914858,0,0
18049431167558520,,jabal.1990,Entah amalan apa yang beliau lakukan sampai bisa melejit seperti ini karirnya kisah yang sangat inspiratif,1755914933,0,0
17960171963827203,,aaprismanarz,"Kaget keknya doi, bysa dpt argo cebanan eh jd wamen 😂",1755915123,0,0
18067311278336110,,budyanaa,Bener2 lu yee,1755915177,0,0
18069461375128979,,ma_gfr,Gacor kali😂,1755915189,0,0
18040068500393122,,rhenwidodo,"Terlalu banyak yang mendo'akan sejak selalu vokal membela pinokio. Setelah ini mungkin segera ikut ditemani oleh pendukung garis keras lainnya; yaqut, budi ari, ade armando, silvester dll karena izin ALLAH SWT. Termasuk junjungan nya.",1755915350,0,0
17852555775475485,,bizkit_florap,😂 titik gacor,1755915422,0,0
17892256434301969,,givemethelongesthandlepossible,jd pejabat modal ngejilat,1755915535,0,0
18072691297871707,,rudii8812,Dari helm ojol ke rompi shopee,1755915649,0,0
18049662548261328,,suroyanarif,"Kebiasaan presiden, suka bagi2 kue ke relawan tanpa liat skill.
Eh penjilat termasuk skill ga sih ?",1755915767,0,0
18064222940245122,,hytnfs18__,Oppa,1755915798,0,0
17938523205063216,,doubleyu_69,Dari rompi hijau ke rompi orange 😂,1755915805,0,0
17989634849834222,,andree23__,Wolak walik e ndunyo,1755915813,0,0
18097951417620680,,adhiebw23,MASIH MENANG BYK KK,1755915829,0,0
17984874893715040,,herisyuwono,"Ternyata mental tempe, Noel Noel 45U koe....",1755915845,0,0
18517171846041328,,bambangirawan.id,Kau @immanuelebenezer terlalu bersemangat balas dendam ada kemiskinan mu... Jadinya rakus😂,1755915900,0,0
18172196428359249,,gioxanders,,1755915910,0,0
17941860831044932,,rhmnzlh,Shopeee🔥,1755915959,0,0
18090980548666067,,dins_ufa,Anjay,1755915985,0,0
18290394562265021,,agusprakoso8,Mas menteri gmn ya ?,1755916072,0,0
18287054197261519,,pw.larc,ini kan buzzer yg jadi wamen,1755916139,0,0
18079378564936672,,raydeon,dari zaman debat2 di ilc udh gedek sama ni orang 😂,1755916479,0,0
18072884312040624,,adybonai,"Mr Noel literally embodying the statue/mannequin his boss put in their office. Immersive experience wow, beating the likes of VR/AR.
Even AI can't beat this 😳",1755916547,0,0
18351010699092634,,rizqiiputraa,@themightyi,1755916553,0,0
18017269199762589,,fajriyah.rachmatika,Riwayat pendidikannya?,1755916574,0,0
17921263014135673,,herishilmankusmawan,"Orang yang naiknya cepat, terjun bebasnya juga cepat🥹😬",1755916620,0,0
18379534030130911,,agung.dwihardi.p,,1755916823,0,0
18374104579178289,,winduyudo,Udah bener ngojek.. Halal kan duitnya,1755916918,0,0
18152517715387622,,yusaksubnafeu,ASYIK🔥,1755917043,0,0
17980281680856041,,aku_kendedes,"yakin kah dipenjara? ntar tinggal belajar berkebun sama bersikap sopan... dikasih remisi . dimiskinkan dulu lah. di bui. hey, apa kabar bunyi fakta integritas yg beliau tandatangani?",1755917095,0,0
18048456095290288,,sastranegara6,Jokowi bawa kerusakan di indonesia,1755917100,0,0
18076196282084732,,hasankembar,Setelah dapat remisi langsung di angkat komisaris,1755917497,0,0
18088441903704180,,victoriahs2022,Don't more cry 😂😂😂,1755917528,0,0
